t,rho,service_time,name,qlen,retries,dropped,runtime,retries_left,job_size 
0.021466,0.970000,0.021466,exp_open_timeout_9,0,0,0,0.000009,3,0.021466
0.068241,0.970000,0.001885,exp_open_timeout_9,0,0,0,0.000016,3,0.001885
0.231513,0.970000,0.044662,exp_open_timeout_9,1,0,0,0.000025,3,0.044662
0.569753,0.970000,0.376356,exp_open_timeout_9,3,0,0,0.000035,3,0.338240
0.676689,0.970000,0.421915,exp_open_timeout_9,5,0,0,0.000044,3,0.106936
0.783517,0.970000,0.334973,exp_open_timeout_9,5,0,0,0.000050,3,0.106828
0.914209,0.970000,0.432184,exp_open_timeout_9,6,0,0,0.000057,3,0.130692
0.914961,0.970000,0.336391,exp_open_timeout_9,5,0,0,0.000060,3,0.000752
0.992179,0.970000,0.327989,exp_open_timeout_9,4,0,0,0.000063,3,0.077218
1.324637,0.970000,0.660117,exp_open_timeout_9,3,0,0,0.000066,3,0.332458
1.402635,0.970000,0.655701,exp_open_timeout_9,2,0,0,0.000068,3,0.077998
1.429445,0.970000,0.565041,exp_open_timeout_9,2,0,0,0.000073,3,0.026810
1.431915,0.970000,0.550420,exp_open_timeout_9,1,0,0,0.000076,3,0.002470
1.499604,0.970000,0.096803,exp_open_timeout_9,1,0,0,0.000081,3,0.067689
1.613963,0.970000,0.150207,exp_open_timeout_9,1,0,0,0.000087,3,0.114359
1.671340,0.970000,0.091174,exp_open_timeout_9,2,0,0,0.000094,3,0.057377
1.738045,0.970000,0.123270,exp_open_timeout_9,1,0,0,0.000097,3,0.066705
2.159830,0.970000,0.543678,exp_open_timeout_9,4,0,0,0.000108,3,0.421785
2.449500,0.970000,0.654492,exp_open_timeout_9,6,0,0,0.000118,3,0.289670
2.493201,0.970000,0.614285,exp_open_timeout_9,7,0,0,0.000126,3,0.043701
2.768900,0.970000,0.867945,exp_open_timeout_9,6,0,0,0.000129,3,0.275699
2.835308,0.970000,0.800120,exp_open_timeout_9,6,0,0,0.000134,3,0.066408
3.073201,0.970000,0.868054,exp_open_timeout_9,8,0,0,0.000143,3,0.237893
3.356718,0.970000,1.044597,exp_open_timeout_9,8,0,0,0.000148,3,0.283517
3.399835,0.970000,1.072205,exp_open_timeout_9,7,0,0,0.000151,3,0.043117
3.411899,0.970000,0.951280,exp_open_timeout_9,6,0,0,0.000154,3,0.012064
3.485878,0.970000,1.003251,exp_open_timeout_9,7,0,0,0.000161,3,0.073979
3.493425,0.970000,0.702705,exp_open_timeout_9,6,0,0,0.000164,3,0.007547
3.502602,0.970000,0.512780,exp_open_timeout_9,5,0,0,0.000167,3,0.009177
3.620912,0.970000,0.604846,exp_open_timeout_9,5,0,0,0.000172,3,0.118309
3.674843,0.970000,0.634619,exp_open_timeout_9,4,0,0,0.000175,3,0.053931
3.743314,0.970000,0.663840,exp_open_timeout_9,4,0,0,0.000180,3,0.068472
3.778226,0.970000,0.340533,exp_open_timeout_9,3,0,0,0.000182,3,0.034912
3.989123,0.970000,0.532323,exp_open_timeout_9,4,0,0,0.000190,3,0.210897
4.109026,0.970000,0.520915,exp_open_timeout_9,3,0,0,0.000193,3,0.119903
4.268026,0.970000,0.538777,exp_open_timeout_9,3,0,0,0.000198,3,0.159000
4.278743,0.970000,0.387316,exp_open_timeout_9,2,0,0,0.000201,3,0.010717
4.537987,0.970000,0.551270,exp_open_timeout_9,4,0,0,0.000210,3,0.259244
4.580313,0.970000,0.348040,exp_open_timeout_9,3,0,0,0.000213,3,0.042326
4.607464,0.970000,0.294602,exp_open_timeout_9,3,0,0,0.000218,3,0.027151
4.711574,0.970000,0.398023,exp_open_timeout_9,2,0,0,0.000221,3,0.104109
4.809419,0.970000,0.440190,exp_open_timeout_9,3,0,0,0.000227,3,0.097846
4.830843,0.970000,0.230527,exp_open_timeout_9,2,0,0,0.000230,3,0.021423
4.942132,0.970000,0.146522,exp_open_timeout_9,2,0,0,0.000236,3,0.111290
5.015673,0.970000,0.210516,exp_open_timeout_9,3,0,0,0.000243,3,0.073541
5.065995,0.970000,0.151775,exp_open_timeout_9,2,0,0,0.000245,3,0.050322
5.080126,0.970000,0.125439,exp_open_timeout_9,1,0,0,0.000248,3,0.014131
5.118249,0.970000,0.143158,exp_open_timeout_9,1,0,0,0.000253,3,0.038123
5.226295,0.970000,0.141753,exp_open_timeout_9,2,0,0,0.000261,3,0.108046
5.249920,0.970000,0.060846,exp_open_timeout_9,2,0,0,0.000266,3,0.023625
5.600182,0.970000,0.404824,exp_open_timeout_9,4,0,0,0.000275,3,0.350263
5.861694,0.970000,0.620785,exp_open_timeout_9,5,0,0,0.000283,3,0.261511
5.944680,0.970000,0.656101,exp_open_timeout_9,5,0,0,0.000288,3,0.082987
6.185240,0.970000,0.802708,exp_open_timeout_9,4,0,0,0.000290,3,0.240560
6.192957,0.970000,0.614907,exp_open_timeout_9,3,0,0,0.000293,3,0.007717
6.442494,0.970000,0.698079,exp_open_timeout_9,4,0,0,0.000300,3,0.249537
6.485792,0.970000,0.640048,exp_open_timeout_9,3,0,0,0.000303,3,0.043298
6.727828,0.970000,0.844451,exp_open_timeout_9,4,0,0,0.000311,3,0.242036
6.857962,0.970000,0.627375,exp_open_timeout_9,3,0,0,0.000313,3,0.130134
6.866484,0.970000,0.444302,exp_open_timeout_9,2,0,0,0.000316,3,0.008522
6.901044,0.970000,0.360161,exp_open_timeout_9,1,0,0,0.000319,3,0.034561
6.911850,0.970000,0.266517,exp_open_timeout_9,0,0,0,0.000321,3,0.010806
7.070203,0.970000,0.145158,exp_open_timeout_9,1,0,0,0.000329,3,0.145158
7.074337,0.970000,0.081365,exp_open_timeout_9,0,0,0,0.000331,3,0.004134
7.157828,0.970000,0.075207,exp_open_timeout_9,0,0,0,0.000337,3,0.075207
7.317934,0.970000,0.071209,exp_open_timeout_9,0,0,0,0.000342,3,0.071209
7.663884,0.970000,0.333033,exp_open_timeout_9,3,0,0,0.000353,3,0.333033
7.710143,0.970000,0.270542,exp_open_timeout_9,2,0,0,0.000356,3,0.046259
7.744661,0.970000,0.203012,exp_open_timeout_9,1,0,0,0.000359,3,0.034518
